# 进迭时空 提交列表（纯文本视图）
# 共 134 个提交
# 生成时间: 2026-06-12 06:00:37
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
6995dfbc | 2025-05-19 | zhangmeng | driver: pinctrl: add spacemit p1 pinctrl driver support
2e758477 | 2025-05-19 | zhangmeng | driver: input: add spacemit p1 key driver support
1167d0c6 | 2025-05-19 | zhangmeng | driver: regulator: add spacemit p1 regulator driver support
59ef36b1 | 2025-05-19 | zhangmeng | driver: mfd: add spacemit p1 mfd driver support
9a1a7860 | 2025-05-21 | zhangmeng | riscv: k1: dts: enable pwm for bananapi f3 board
ba498ab0 | 2025-05-20 | zhangmeng | riscv: config: enable pxa-pwm driver for spacemit k1
37586282 | 2025-05-19 | zhangmeng | riscv: k1: dts: add pwm support for spacemit k1
2c2d0e55 | 2025-05-19 | zhangmeng | driver: pwm: update pwm-pxa for support spacemit k1
45040b57 | 2025-05-21 | zhangmeng | riscv: k1: dts: enable qspi for bananapi f3 board
445418e1 | 2025-05-20 | zhangmeng | riscv: config: enable qspi driver for spacemit k1
fa46c63b | 2025-05-19 | zhangmeng | riscv: k1: dts: add qspi support for spacemit k1
41152983 | 2025-05-19 | zhangmeng | driver: k1: add qspi driver support for spacemit k1
46e6d714 | 2025-05-21 | zhangmeng | riscv: k1: dts: enable spi-3 for bananapi f3 board
590bfaff | 2025-05-20 | zhangmeng | riscv: config: enable spi driver for spacemit k1
fac11368 | 2025-05-19 | zhangmeng | riscv: k1: dts: add spi support for spacemit k1
ae9da463 | 2025-05-19 | zhangmeng | driver: k1: add spi driver support for spacemit k1
d4a7734f | 2025-05-21 | zhangmeng | riscv: k1: dts: enable i2c2 and i2c8 for bananapi f3 board
92e253ee | 2025-05-20 | zhangmeng | riscv: config: enable i2c driver for spacemit k1
0ba13e0d | 2025-05-19 | zhangmeng | riscv: k1: dts: add i2c support for spacemit k1
4a8124c6 | 2025-05-19 | zhangmeng | driver: k1: add i2c driver support for spacemit k1
40f0579e | 2025-05-20 | zhangmeng | riscv: config: enable dma driver for spacemit k1
4af6a99f | 2025-05-19 | zhangmeng | riscv: k1: dts: add dma support for spacemit k1
52d5fd7a | 2025-05-17 | zhangmeng | driver: k1: add dma driver support for spacemit k1
fa1fea76 | 2025-05-19 | zhangmeng | riscv: k1: dt-bindings: support dma binding for spacemit k1 soc
e5deb9b6 | 2025-05-20 | zhangmeng | riscv: config: enable memory range driver for spacemit k1
8bfa1269 | 2025-05-17 | zhangmeng | riscv: k1: dts: add memory ranges define
59b1996c | 2025-05-17 | zhangmeng | driver: k1: add an interconnect process driver
562467cc | 2025-03-01 | zhangmeng | riscv: config: enable serial driver for spacemit k1
be300394 | 2025-02-20 | zhangmeng | riscv: k1x: dts: add uart support for spacemit k1x soc
1b24a56a | 2025-02-20 | zhangmeng | driver: k1x: add uart serial driver support for spacemit k1x
5fc08a5f | 2025-02-25 | zhangmeng | riscv: k1x: config: enable gpio driver for spacemit k1
2743e988 | 2025-02-20 | zhangmeng | riscv: k1x: dts: add gpio support spacemit k1x soc
0074e25b | 2025-02-20 | zhangmeng | driver: k1x: add gpio driver for spacemit k1
a4580553 | 2025-02-25 | zhangmeng | riscv: k1x: config: enable pinctrl driver for spacemit k1
b827d96e | 2025-02-20 | zhangmeng | riscv: k1x: dts: add pinctrl support for spacemit k1x soc
0928e5c5 | 2025-02-20 | zhangmeng | driver: k1x: add pinctrl driver for spacemit k1x
0554e153 | 2025-02-20 | zhangmeng | riscv: k1x: dt-bindings: support pinctrl binding for spacemit k1x soc
0bdf24fd | 2025-02-25 | zhangmeng | riscv: k1x: config: enable reset driver for spacemit k1
eb8fd395 | 2025-02-19 | zhangmeng | riscv: k1x: dts: add reset support for spacemit k1
fa2ea3f2 | 2025-02-19 | zhangmeng | driver: k1x: add reset driver for spacemit k1
6215cae9 | 2025-02-19 | zhangmeng | riscv: k1x: dt-bindings: add reset dt-bindings for spacemit k1
060788be | 2025-02-25 | zhangmeng | riscv: k1x: config: enable clock driver for spacemit k1
42614dbe | 2025-02-19 | zhangmeng | riscv: k1x: dts: add clock support for spacemit k1
cec811ef | 2025-02-19 | zhangmeng | driver: k1x: clk: add clock driver for spacemit k1
2be35210 | 2025-02-19 | zhangmeng | riscv: k1x: dt-bindings: add clock dt-bindings for spacemit k1
290dc6d5 | 2025-02-18 | zhangmeng | riscv: k1x: add spacemit k1 soc support
