# 软件所 提交列表（纯文本视图）
# 共 265 个提交
# 生成时间: 2026-05-20 02:50:53
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
c686b0fa | 2024-08-09 | Yong-Xuan Wang | irqchip/riscv-aplic: Retrigger MSI interrupt on source configuration
9ad0acfc | 2024-06-03 | Jinjie Ruan | irqchip/riscv-aplic: Simplify the initialization code
9bf81a46 | 2024-04-16 | Dawei Li | irqchip/riscv-aplic-direct: Avoid explicit cpumask allocation on stack
66c4eea3 | 2024-04-16 | Dawei Li | cpumask: Introduce cpumask_first_and_and()
af05e08e | 2024-03-07 | Anup Patel | irqchip/riscv-aplic: Add support for MSI-mode
851b30de | 2024-08-20 | Dan Carpenter | irqchip/riscv-aplic: Fix an IS_ERR() vs NULL bug in probe()
474d2923 | 2024-03-07 | Anup Patel | irqchip: Add RISC-V advanced PLIC driver for direct-mode
16b7b4ae | 2024-03-07 | Anup Patel | dt-bindings: interrupt-controller: Add RISC-V advanced PLIC
892dfe08 | 2024-03-07 | Anup Patel | irqchip/riscv-imsic: Add device MSI domain support for PCI devices
11185835 | 2024-09-09 | Andrew Jones | irqchip/riscv-imsic: Fix output text of base address
f65ce66f | 2024-04-13 | Anup Patel | irqchip/riscv-imsic: Fix boot time update effective affinity warning
00a0cd91 | 2024-03-07 | Anup Patel | irqchip/riscv-imsic: Add device MSI domain support for platform devices
7cf6579f | 2024-03-07 | Anup Patel | irqchip: Add RISC-V incoming MSI controller early driver
62d0b339 | 2024-03-07 | Anup Patel | dt-bindings: interrupt-controller: Add RISC-V incoming MSI controller
faf1939e | 2024-02-22 | Björn Töpel | genirq/matrix: Dynamic bitmap allocation
bf58ca9d | 2024-03-12 | Samuel Holland | irqchip/riscv-intc: Fix use of AIA interrupts 32-63 on riscv32
2aa05c4e | 2024-02-26 | Anup Patel | irqchip/riscv-intc: Fix low-level interrupt handler setup for AIA
eb5ed7d3 | 2024-02-22 | Anup Patel | irqchip/riscv-intc: Add support for RISC-V AIA
90b2bbe8 | 2023-12-20 | Jisheng Zhang | riscv: enable HAVE_FAST_GUP if MMU
ccddfd86 | 2023-12-20 | Jisheng Zhang | riscv: enable MMU_GATHER_RCU_TABLE_FREE for SMP && MMU
cae4afdc | 2023-12-20 | Jisheng Zhang | riscv: tlb: convert __p*d_free_tlb() to inline functions
46144f02 | 2023-12-20 | Jisheng Zhang | riscv: tlb: fix __p*d_free_tlb()
a2458b58 | 2023-09-13 | Mayuresh Chitale | dt-bindings: riscv: Add smstateen entry
33a5ae45 | 2023-09-13 | Mayuresh Chitale | RISC-V: Detect Smstateen extension
487441e3 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide MSI_FLAG_PARENT_PM_DEV
ad5834f3 | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Reroute device MSI create_mapping
086ec9d2 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide allocation/free functions for "wired" MSI interrupts
20cb9d47 | 2024-01-27 | Thomas Gleixner | genirq/msi: Optionally use dev->fwnode for device domain
33314d08 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide DOMAIN_BUS_WIRED_TO_MSI
467e0207 | 2024-01-27 | Thomas Gleixner | genirq/msi: Split msi_domain_alloc_irq_at()
62d80742 | 2024-02-20 | Marc Zyngier | genirq/irqdomain: Don't call ops->select for DOMAIN_BUS_ANY tokens
c2d9354d | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide optional translation op
6607ed51 | 2024-02-15 | Thomas Gleixner | platform-msi: Remove unused interfaces
43109d5b | 2024-01-27 | Thomas Gleixner | irqchip: Convert all platform MSI users to the new API
84db0551 | 2024-01-27 | Thomas Gleixner | platform-msi: Prepare for real per device domains
8921022e | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Add DOMAIN_BUS_DEVICE_MSI
c2efa755 | 2024-01-27 | Thomas Gleixner | genirq/msi: Extend msi_parent_ops
9af0bd82 | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Remove the param count restriction from select()
f834e68b | 2024-12-10 | Yafen Fang | fix: Error: unrecognized opcode cbo.clean (a0)
a2078984 | 2024-03-27 | Han Gao | riscv: sophgo: mango: add xtheadvector for mango-cpus-socket0&1
93779f9f | 2024-09-27 | Han Gao | driver: video-memory: reorganize the code structure
892dbea6 | 2024-09-21 | Han Gao | fix: gpu: fix device tree matching img,gpu
028c4252 | 2024-09-21 | Han Gao | ci: cleanup forced setting of thread number
6d068991 | 2024-09-21 | Han Gao | debian: linux-image provide wireguard-modules
3af98173 | 2024-09-21 | Han Gao | config: cleanup unused option
825d1ca1 | 2024-09-21 | Han Gao | fix: disable CONFIG_PCI for pvrsrvkm build error
03007143 | 2024-09-21 | Han Gao | dts: lpi4a: remove mipi screen
f698b348 | 2024-09-19 | Han Gao | sync: xuantie: vpu-vc8000e SDK v2.0.2 code
14238d8c | 2024-09-19 | Han Gao | sync: xuantie: vpu-vc8000d SDK v2.0.2 code
4e8f8d30 | 2024-08-07 | Han Gao | symbol: gpl: export pud_offset/p4d_offset symbol
f1ab87b1 | 2024-09-19 | Han Gao | sync: xuantie: video_memory SDK v2.0.2 code
fd63e08e | 2024-09-19 | Han Gao | sync: img: npu-ax3386: sync SDK V2.0.2 code
045256b7 | 2024-09-16 | Han Gao | ci: kernel auto build on native
efee6346 | 2024-03-28 | Icenowy Zheng | drm/verisilicon: add format_mod_supported to plane
f3c51c2c | 2023-12-28 | Icenowy Zheng | drm/verisilicon: bias fb address for dual-head offset
fbb3b621 | 2023-12-27 | Icenowy Zheng | drm/verisilicon: finally fix the cursor position
b74faeed | 2023-12-05 | Icenowy Zheng | drm/verisilicon: fix cursor position
2fec5d63 | 2023-05-08 | Icenowy Zheng | drm: verisilicon: fix fbcon
8b4e44e1 | 2022-09-14 | Icenowy Zheng | drm/dc8200: disable gamma lut now
edd12104 | 2024-09-14 | Drew Fustini | cpufreq: th1520-cpufreq: fix cpu_pll1 already disabled warning
e8774edc | 2024-09-13 | Icenowy Zheng | th1520: use etnaviv gpu
d1c41b91 | 2024-09-13 | Han Gao | config: enable configs for TH1520
85dca649 | 2024-09-13 | Han Gao | config: enable ARCH_XUANTIE
0970dd63 | 2024-09-13 | Han Gao | config: mmc_block & ext4 builtin
5e649b54 | 2024-09-13 | Han Gao | config: init revyos defconfig
820b4692 | 2024-09-01 | Han Gao | configs: enable img rogue gpu
e3b9ca7a | 2024-09-01 | Mingzheng Xing | th1520: gpu: Add driver for PowerVR Rogue GPU
75751b1f | 2024-09-01 | Han Gao | fix: dts: remove duplicate node
b2128f0e | 2024-09-01 | Han Gao | Solve problem of hdmi-edid reading
5bc1d5a8 | 2024-09-01 | Han Gao | riscv:uprobe: fix flush_icache to ensure that instructions are refreshed when switching to user mode
c5ab6082 | 2024-09-01 | Han Gao | HDMI: fix bug of not being able to light up the external monitor
bd193514 | 2024-09-01 | Han Gao | Fix panel-jadard-jd9365da panel driver problem
3e0984dc | 2024-09-01 | Han Gao | Fix panel-jadard-jd9365da panel driver problem
21b26f5a | 2024-09-01 | Han Gao | sensor: fix bug of channel 1 and channel 2 of video2 failed to run
df6daada | 2024-09-01 | Han Gao | Expand cma size from 512MB to 768MB to meet the FBO video frame buffer requirement from chromium's X11 XVideo display feature
a3541bb8 | 2024-09-01 | Han Gao | defconfig: th1520: to fix the problem of perf test fail
79dff00b | 2024-09-01 | Han Gao | Fix: Repair rvbook hall sensor functionality and optimize codebase
695216b1 | 2024-09-01 | Han Gao | riscv:vector: Check datap status in __switch_to_vector
5a826abf | 2024-09-01 | Han Gao | th1520_defconfig:Enable lowpower settings
cc36e61d | 2024-09-01 | Han Gao | th1520_defconfig:Enable ebpf settings
085881c5 | 2024-09-01 | Han Gao | dts: th1520: sd card not try sdio cmds
41d80cf6 | 2024-09-01 | Han Gao | fix rv_book str
d6787598 | 2024-09-01 | Han Gao | driver usb: optimize pm resume time, do resume in runtime_resume
86d0ea17 | 2024-09-01 | Han Gao | Solve problem of DSI transfer command failure when hotplug hdmi
71186b67 | 2024-09-01 | Han Gao | dts: bt: support rtl8822cs
35badfe5 | 2024-09-01 | Han Gao | dts: wifi: support rtl8822cs
80eaec70 | 2024-09-01 | Han Gao | defconfig: wifi : add rtl8822cs(for rvbook)
379f3672 | 2024-09-01 | Han Gao | riscv:kdump: Fix gen /proc/vmcore
34d8230d | 2024-09-01 | Han Gao | driver:tee:add tee_driver_pm_ops
ed57233d | 2024-09-01 | Han Gao | driver:tee:Allow to freeze when tee supplicant is freezed
13e0598b | 2024-09-01 | Han Gao | usb: dwc3: th1520.dtsi: bugfix: fix usb str xhci error
4005e227 | 2024-09-01 | Han Gao | drivers: support virtio_vdmabuf
25d346cb | 2024-09-01 | Han Gao | perf:test:fix PERF_RECORD_* events & perf_sample fields in yocto linux
919f0978 | 2024-09-01 | Han Gao | move the place of dts "audio-text-memory-region" property
681001a9 | 2024-09-01 | Han Gao | defconfig: bt: add hid support
eec6c725 | 2024-09-01 | Han Gao | defconfig: bt : add rtl8723ds
a9fe7f6d | 2024-09-01 | Han Gao | driver: bt : Compatible with RTL8723ds'h5 protocol
05fe6d99 | 2024-09-01 | Han Gao | driver: bt: add rtl8723ds h5 protocol
c57d9ac9 | 2024-09-01 | Han Gao | add audio hibernation ops
f2abaf93 | 2024-09-01 | Han Gao | DPU: remove panel unprepare process in disable dsi process
5e23fddb | 2024-09-01 | Han Gao | remove dts "audio_mem" node and add mbox 910r channel
a9a4dfd1 | 2024-09-01 | Han Gao | usb: dwc3-thead: fix usb gadget support
280aa335 | 2024-09-01 | Han Gao | dts: th1520-lichee-pi-4a: update usb hub
dbcc32ea | 2024-09-01 | Han Gao | dts: add th1520-lpi4a-dsi0.dts and th1520-lpi4a-hx8279.dts
0a6372aa | 2024-09-01 | Han Gao | dts: add display support for dsi0&dsi1 and dsi0&hdmi
d64201c8 | 2024-09-01 | Han Gao | dw-axi-dma : dma_chan_prep_dma_memcpy func add chan->direction = DMA_MEM_TO_MEM
d8ebdb45 | 2024-09-01 | Han Gao | DPU: support DSI/HDMI driver for light-a-val
9b67078f | 2024-09-01 | Han Gao | driver : rfkill : Delete unnecessary code
975961f5 | 2024-09-01 | Han Gao | dts: rfkill: Delete unnecessary nodes
a9899935 | 2024-09-01 | Han Gao | RISC-V laptop: Add new drivers for specific hardware components
2acb3225 | 2024-09-01 | Han Gao | rvbook: add th1520-rvbook.dts
bfa4e0d5 | 2024-09-01 | Han Gao | Add kernel boot rvbook_defconfig
feefd876 | 2024-09-01 | Han Gao | dts: add GPU device node
bd3b987c | 2024-09-01 | Han Gao | perf vendor events riscv: Add PMU event JSON files for TH1520 DDRC PMU
c562ae64 | 2024-09-01 | Han Gao | dts: rfkill: Resolving Insmod Failure Issues
c05812ff | 2024-09-01 | Han Gao | dts: th1520: add g2d device node
d3a08454 | 2024-08-31 | Han Gao | aic8800: Add AIC8800's config to th1520_defconfig, as well as resolve known issues
a053a415 | 2024-08-31 | Han Gao | uart: Fix the UART problem
a92ab641 | 2024-08-31 | Han Gao | rfkill: add aic8800 rfkill support for gpio control of aic8800 wifi/bt
40388a0c | 2024-08-31 | Han Gao | th1520-lichee-pi-4a.dts: change dts for aic8800 wifi Support aic8800 wifi
020f5485 | 2024-08-31 | Han Gao | th1520-lichee-pi-4a.dts: change dts for aic8800 bt Support aic8800 bt
bb1ea231 | 2024-08-27 | Han Gao | fix: riscv: xtheadvector: fix setup_v_vsize
af33237a | 2024-07-05 | Han Gao | configs: enable rtw88 for 8723ds
239532a7 | 2024-06-10 | Han Gao | xtheadvector: fix it used as v-ext when hwprobe is used
acce88bd | 2024-03-30 | Han Gao | dts: th1520: add xtheadvector
17cb7d54 | 2024-03-29 | Han Gao | fix: use has_vector instead of judge ELF_HWCAP
f09b0819 | 2024-03-27 | Han Gao | riscv: xtheadvector: enable vector function
8710cd51 | 2024-07-03 | Han Gao | configs: init th1520 config
82e7b50b | 2024-07-05 | Han Gao | riscv: dts: lpi4a 16g support
239e3e1f | 2024-07-02 | Han Gao | chore: use thead instead of xuantie
7e805401 | 2024-07-02 | Han Gao | chore: use xuantie instead of thead
0e848948 | 2024-01-12 | Han Gao | chore: dtb_install in /boot
f7fba6d7 | 2023-09-21 | Han Gao | remove compression for riscv Image
4694fafa | 2023-12-06 | Drew Fustini | riscv: dts: thead: Enable LicheePi 4A eMMC and microSD
3baf8ebc | 2023-12-06 | Drew Fustini | riscv: dts: thead: Enable BeagleV Ahead eMMC and microSD
41b5d78b | 2023-12-06 | Drew Fustini | riscv: dts: thead: Add TH1520 mmc controllers and sdhci clock
380b4efd | 2023-12-06 | Drew Fustini | riscv: defconfig: Enable mmc and dma drivers for T-Head TH1520
db21efc2 | 2023-11-14 | Drew Fustini | mmc: sdhci-of-dwcmshc: Add support for T-Head TH1520
9937ffc1 | 2023-11-14 | Drew Fustini | mmc: sdhci: add __sdhci_execute_tuning() to header
c24bfca9 | 2023-11-14 | Drew Fustini | dt-bindings: mmc: sdhci-of-dwcmhsc: Add T-Head TH1520 support
43a14816 | 2024-04-25 | Han Gao | fix: remove linux/array_size.h for pinctrl-th1520
d3e48c69 | 2024-01-03 | Emil Renner Berthing | riscv: dtb: thead: Add BeagleV Ahead LEDs
9f000fb4 | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Add TH1520 pinctrl settings for UART0
21e63de1 | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Add Lichee Pi 4M GPIO line names
0f462640 | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Adjust TH1520 GPIO labels
cba914fa | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Add TH1520 GPIO ranges
52e56f5c | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Add TH1520 pin control nodes
e4c69f73 | 2024-01-03 | Emil Renner Berthing | pinctrl: Add driver for the T-Head TH1520 SoC
1025788c | 2024-01-03 | Emil Renner Berthing | dt-bindings: pinctrl: Add thead,th1520-pinctrl bindings
