# 中兴通讯 提交列表（纯文本视图）
# 共 354 个提交
# 生成时间: 2026-05-19 22:52:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
66a72b84 | 2025-04-11 | Nylon Chen | riscv: misaligned: fix sleeping function called during misaligned access handling
9039662d | 2025-02-28 | Alexandre Ghiti | riscv: Fix missing __free_pages() in check_vector_unaligned_access()
d4b6faab | 2025-02-28 | Tingbo Liao | riscv: Fix the __riscv_copy_vec_words_unaligned implementation
5c932c87 | 2025-10-20 | Xu Lu | RISC-V: KVM: Allow Zalasr extensions for Guest/VM
b311d8b2 | 2025-07-24 | Aleksa Paunovic | riscv: hwprobe: Add MIPS vendor extension probing
016698c5 | 2025-04-18 | Cyan Yang | riscv: hwprobe: Add SiFive vendor extension support and probe for xsfqmaccdod and xsfqmaccqoq
274a1c3b | 2025-04-18 | Cyan Yang | riscv: hwprobe: Document SiFive xsfvqmaccdod and xsfvqmaccqoq vendor extensions
5e501b5a | 2024-11-13 | Charlie Jenkins | riscv: hwprobe: Add thead vendor extension probing
aca9fc58 | 2025-10-20 | Xu Lu | riscv: Introduce Zalasr instructions
cb54b1f7 | 2025-10-20 | Xu Lu | riscv: hwprobe: Export Zalasr extension
71697602 | 2025-10-20 | Xu Lu | dt-bindings: riscv: Add Zalasr ISA extension description
962ecab6 | 2025-10-20 | Xu Lu | riscv: Add ISA extension parsing for Zalasr
79dbd1ca | 2025-04-21 | Alexandre Ghiti | riscv: hwprobe: export Zabha extension
bf5d008d | 2024-03-01 | Samuel Holland | riscv: mm: Fix prototype to avoid discarding const
e08114fa | 2024-01-30 | Alexandre Ghiti | riscv: Fix arch_tlbbatch_flush() by clearing the batch cpumask
1a54196c | 2024-01-08 | Alexandre Ghiti | riscv: Add support for BATCHED_UNMAP_TLB_FLUSH
0c1b1c22 | 2023-10-30 | Alexandre Ghiti | riscv: Improve flush_tlb_range() for hugetlb pages
9ec9ccd5 | 2026-02-05 | shenlin | perf vendor events riscv: fix lrw core PMU event mapping
e341c76b | 2024-06-05 | Björn Töpel | riscv: Enable DAX VMEMMAP optimization
3de689ee | 2024-06-05 | Björn Töpel | riscv: mm: Add support for ZONE_DEVICE
a87dba9d | 2024-06-05 | Björn Töpel | virtio-mem: Enable virtio-mem for RISC-V
57387a49 | 2024-06-05 | Björn Töpel | riscv: Enable memory hotplugging for RISC-V
0befad6b | 2024-06-05 | Björn Töpel | riscv: mm: Take memory hotplug read-lock during kernel page table dump
41dc690c | 2024-06-05 | Björn Töpel | riscv: mm: Add memory hotplugging support
697e7de5 | 2024-06-05 | Björn Töpel | riscv: mm: Add pfn_to_kaddr() implementation
cd4f49c6 | 2024-06-05 | Björn Töpel | riscv: mm: Refactor create_linear_mapping_range() for memory hot add
c80aa643 | 2024-06-05 | Björn Töpel | riscv: mm: Change attribute from __init to __meminit for page functions
b81a2e60 | 2024-06-05 | Björn Töpel | riscv: mm: Pre-allocate vmemmap/direct map/kasan PGD entries
9142fcae | 2024-06-05 | Björn Töpel | riscv: mm: Properly forward vmemmap_populate() altmap parameter
5835995b | 2023-12-14 | Alexandre Ghiti | riscv: Use hugepage mappings for vmemmap
061f1788 | 2023-11-06 | Evan Green | RISC-V: Probe misaligned access speed in parallel
04747dbe | 2023-11-06 | Evan Green | RISC-V: Remove __init on unaligned_emulation_finish()
eaa7a89c | 2023-10-04 | Clément Léger | riscv: add support for PR_SET_UNALIGN and PR_GET_UNALIGN
d5f5fda0 | 2023-10-04 | Clément Léger | riscv: report misaligned accesses emulation to hwprobe
044a7ae3 | 2023-10-04 | Clément Léger | riscv: add support for sysctl unaligned_enabled control
f2ef5550 | 2023-10-04 | Clément Léger | riscv: add floating point insn support to misaligned access emulation
bf0ce92e | 2023-10-04 | Clément Léger | riscv: report perf event for misaligned fault
d4ea122e | 2023-10-04 | Clément Léger | riscv: add support for misaligned trap handling in S-mode
ee788547 | 2026-01-17 | Lu Peng | riscv: defconfig: Enable more ACPI_APEI configs
563fe63a | 2025-07-23 | Ignacio Encinas | riscv: introduce asm/swab.h
1a87ce1c | 2026-01-07 | hu.yuye | riscv:defconfig:Enable PCIE_EDR
5ffef145 | 2025-12-31 | Yunhui Cui | arch_topology: move parse_acpi_topology() to common code
d61034e9 | 2025-12-31 | Yicong Yang | arm64: topology: Support SMT control on ACPI based system
d94ec4ae | 2025-12-31 | Yicong Yang | arch_topology: Support SMT control for OF based system
a8ab66c4 | 2025-12-31 | Yicong Yang | cpu/SMT: Provide a default topology_is_primary_thread()
6f3bec19 | 2025-01-24 | Andy Shevchenko | serial: 8250_core: Remove unneeded ->iotype assignment
9f19701b | 2025-12-30 | hu.yuye | Revert "mango pci hack:broadcast when no MSI source known"
